trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,checkpoint_date,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,SPX,42,5686.67,0.192642,19.26,,reinvestment,5260.0,6000.0,-0.1617,0.1728,44.55,25.8,70.35,,,,,,,5976.97,0.0,0.0,70.35,7035.0,True,WIN
2025-05-30,2025-07-11,SPX,42,5911.69,0.158124,15.81,,reinvestment,5525.0,6200.0,-0.1605,0.1552,39.5,19.3,58.8,,,,,,,6259.75,0.0,59.75,-0.95,-95.0,False,LOSS
2025-06-27,2025-08-08,SPX,42,6173.07,0.138857,13.89,,reinvestment,5825.0,6450.0,-0.1579,0.1659,34.3,20.9,55.2,,,,,,,6389.45,0.0,0.0,55.2,5520.0,True,WIN
2025-07-25,2025-09-05,SPX,42,6388.64,0.123442,12.34,,reinvestment,6070.0,6650.0,-0.1611,0.1617,32.7,18.65,51.35,,,,,,,6481.5,0.0,0.0,51.35,5135.0,True,WIN
2025-08-22,2025-10-03,SPX,42,6466.91,0.118023,11.8,,reinvestment,6150.0,6725.0,-0.1612,0.1486,32.55,15.7,48.25,,,,,,,6715.79,0.0,0.0,48.25,4825.0,True,WIN
2025-09-19,2025-10-31,SPX,42,6664.36,0.130461,13.05,,reinvestment,6310.0,6950.0,-0.1594,0.161,35.6,20.3,55.9,,,,,,,6840.2,0.0,0.0,55.9,5590.0,True,WIN
2025-10-17,2025-11-28,SPX,42,6664.01,0.163763,16.38,,reinvestment,6215.0,6990.0,-0.1606,0.1608,45.95,23.3,69.25,,,,,,,6849.09,0.0,0.0,69.25,6925.0,True,WIN
2025-11-14,2025-12-26,SPX,42,6734.11,0.162271,16.23,,reinvestment,6300.0,7075.0,-0.1615,0.1584,44.9,23.75,68.65,,,,,,,6929.94,0.0,0.0,68.65,6865.0,True,WIN
2025-12-11,2026-01-22,SPX,42,6901.0,0.125936,12.59,,reinvestment,6550.0,7200.0,-0.1565,0.1428,34.0,17.05,51.05,,,,,,,6913.35,0.0,0.0,51.05,5105.0,True,WIN
2026-01-09,2026-02-20,SPX,42,6966.28,0.119063,11.91,,reinvestment,6630.0,7240.0,-0.1593,0.1567,33.75,18.35,52.1,,,,,,,6909.51,0.0,0.0,52.1,5210.0,True,WIN
2026-02-06,2026-03-20,SPX,42,6932.3,0.147962,14.8,,reinvestment,6505.0,7230.0,-0.1607,0.1658,43.65,22.35,66.0,,,,,,,6506.48,0.0,0.0,66.0,6600.0,True,WIN
2026-03-06,2026-04-17,SPX,42,6740.02,0.219412,21.94,,reinvestment,6220.0,7120.0,-0.1942,0.1606,80.45,27.25,107.7,,,,,,,6740.02,0.0,0.0,107.7,10770.0,True,WIN
2026-04-02,2026-05-15,SPX,43,6582.69,0.2001,20.01,,reinvestment,6085.0,6950.0,-0.1688,0.1594,56.85,25.9,82.75,,,,,,,6582.69,0.0,0.0,82.75,8275.0,True,WIN
