trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,checkpoint_date,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,SPX,42,5686.67,0.192642,19.26,,reinvestment,5260.0,6000.0,-0.1617,0.1728,44.55,25.8,70.35,,,,,,,5976.97,0.0,0.0,70.35,7035.0,True,WIN
2025-05-30,2025-07-11,SPX,42,5911.69,0.158124,15.81,,reinvestment,5525.0,6200.0,-0.1605,0.1552,39.5,19.3,58.8,,,,,,,6259.75,0.0,59.75,-0.95,-95.0,False,LOSS
2025-06-20,2025-08-01,SPX,42,5967.84,0.16941,16.94,,reinvestment,5550.0,6275.0,-0.1562,0.1607,40.55,22.0,62.55,,,,,,,6238.01,0.0,0.0,62.55,6255.0,True,WIN
2025-07-18,2025-08-29,SPX,42,6296.79,0.139468,13.95,,reinvestment,5945.0,6580.0,-0.1604,0.1617,35.75,20.35,56.1,,,,,,,6460.26,0.0,0.0,56.1,5610.0,True,WIN
2025-08-08,2025-09-19,SPX,42,6389.45,0.12561,12.56,,reinvestment,6060.0,6650.0,-0.1596,0.1627,33.15,18.8,51.95,,,,,,,6664.36,0.0,14.3599,37.5901,3759.01,False,WIN
2025-08-29,2025-10-10,SPX,42,6460.26,0.125099,12.51,,reinvestment,6125.0,6725.0,-0.1609,0.1496,34.3,16.35,50.65,,,,,,,6552.51,0.0,0.0,50.65,5065.0,True,WIN
2025-09-26,2025-11-07,SPX,42,6643.7,0.133098,13.31,,reinvestment,6290.0,6925.0,-0.1593,0.1654,35.45,21.0,56.45,,,,,,,6728.8,0.0,0.0,56.45,5645.0,True,WIN
2025-10-24,2025-12-05,SPX,42,6791.69,0.133405,13.34,,reinvestment,6420.0,7075.0,-0.1609,0.1665,38.0,21.4,59.4,,,,,,,6870.4,0.0,0.0,59.4,5940.0,True,WIN
2025-11-14,2025-12-26,SPX,42,6734.11,0.162271,16.23,,reinvestment,6300.0,7075.0,-0.1615,0.1584,44.9,23.75,68.65,,,,,,,6929.94,0.0,0.0,68.65,6865.0,True,WIN
2025-11-28,2026-01-09,SPX,42,6849.09,0.138581,13.86,,reinvestment,6470.0,7150.0,-0.1598,0.1668,38.25,22.9,61.15,,,,,,,6966.28,0.0,0.0,61.15,6115.0,True,WIN
2025-12-19,2026-01-30,SPX,42,6834.5,0.126971,12.7,,reinvestment,6490.0,7115.0,-0.1609,0.1588,35.25,19.35,54.6,,,,,,,6939.03,0.0,0.0,54.6,5460.0,True,WIN
2026-01-02,2026-02-13,SPX,42,6858.47,0.127705,12.77,,reinvestment,6525.0,7150.0,-0.1631,0.1493,35.05,18.0,53.05,,,,,,,6836.17,0.0,0.0,53.05,5305.0,True,WIN
2026-01-23,2026-03-06,SPX,42,6915.61,0.135034,13.5,,reinvestment,6525.0,7200.0,-0.1596,0.1628,39.3,20.55,59.85,,,,,,,6740.02,0.0,0.0,59.85,5985.0,True,WIN
2026-02-13,2026-03-27,SPX,42,6836.17,0.168378,16.84,,reinvestment,6350.0,7160.0,-0.1603,0.1622,49.75,23.5,73.25,,,,,,,6368.85,0.0,0.0,73.25,7325.0,True,WIN
2026-02-27,2026-04-10,SPX,42,6878.88,0.159416,15.94,,reinvestment,6400.0,7175.0,-0.1581,0.168,47.6,22.8,70.4,,,,,,,6824.66,0.0,0.0,70.4,7040.0,True,WIN
2026-03-27,2026-05-08,SPX,42,6368.85,0.256707,25.67,,reinvestment,5750.0,6830.0,-0.1605,0.1611,65.25,33.3,98.55,,,,,,,6368.85,0.0,0.0,98.55,9855.0,True,WIN
