trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2025-05-02,2025-05-02,42,2020.74,17.65,15.75,0.0
2025-05-02,2025-05-05,39,2004.26,20.0,12.35,105.0
2025-05-02,2025-05-06,38,1983.19,24.15,9.35,-10.0
2025-05-02,2025-05-07,37,1989.66,20.25,8.5,465.0
2025-05-02,2025-05-08,36,2026.41,13.65,14.7,505.0
2025-05-02,2025-05-09,35,2023.07,13.15,13.05,720.0
2025-05-02,2025-05-12,32,2092.2,4.55,25.25,360.0
2025-05-02,2025-05-13,31,2102.35,4.4,25.6,340.0
2025-05-02,2025-05-16,28,2113.25,3.125,24.5,577.5
2025-05-02,2025-05-19,25,2104.43,3.15,20.25,1000.0
2025-05-02,2025-05-20,24,2105.58,2.85,19.35,1120.0
2025-05-02,2025-05-21,23,2046.56,7.4,9.3,1670.0
2025-05-02,2025-05-22,22,2045.56,6.0,7.85,1955.0
2025-05-02,2025-05-23,21,2039.85,7.6,6.6,1920.0
2025-05-02,2025-05-27,17,2093.0,2.5,11.55,1935.0
2025-05-02,2025-05-28,16,2121.1,2.725,7.15,2352.5
2025-05-02,2025-05-29,15,2074.78,2.0,6.65,2475.0
2025-05-02,2025-05-30,14,2066.29,1.475,3.65,2827.5
2025-05-02,2025-06-02,11,2070.16,0.925,3.75,2872.5
2025-05-02,2025-06-03,10,2102.98,0.725,9.1,2357.5
2025-05-02,2025-06-04,9,2098.48,0.575,6.95,2587.5
2025-05-02,2025-06-05,8,2097.35,0.5,7.1,2580.0
2025-05-02,2025-06-06,7,2132.25,0.225,10.45,2272.5
2025-05-02,2025-06-09,4,2144.45,0.1,13.65,1965.0
2025-05-02,2025-06-10,3,2158.0,0.075,15.85,1747.5
2025-05-02,2025-06-11,2,2148.23,0.075,5.05,2827.5
2025-05-02,2025-06-12,1,2140.09,0.075,2.2,3112.5
2025-05-02,2025-06-13,0,2100.51,0.0,0.0,3340.0
2025-06-06,2025-06-06,42,2132.25,16.1,11.8,-0.0
2025-06-06,2025-06-09,39,2144.45,13.75,13.4,75.0
2025-06-06,2025-06-10,38,2158.0,12.2,14.8,90.0
2025-06-06,2025-06-11,37,2148.23,12.8,11.25,385.0
2025-06-06,2025-06-12,36,2140.09,13.35,9.35,520.0
2025-06-06,2025-06-13,35,2100.51,22.2,5.85,-15.0
2025-06-06,2025-06-16,32,2129.5,13.5,6.7,770.0
2025-06-06,2025-06-17,31,2101.96,20.85,5.35,170.0
2025-06-06,2025-06-18,30,2112.96,15.75,5.3,685.0
2025-06-06,2025-06-20,28,2109.27,16.1,4.2,760.0
2025-06-06,2025-06-23,25,2132.68,11.2,5.05,1165.0
2025-06-06,2025-06-24,24,2161.21,6.25,7.3,1435.0
2025-06-06,2025-06-25,23,2136.18,6.95,4.3,1665.0
2025-06-06,2025-06-26,22,2172.11,3.85,7.55,1650.0
2025-06-06,2025-06-27,21,2172.53,3.3,7.05,1755.0
2025-06-06,2025-06-30,18,2175.04,2.6,6.85,1845.0
2025-06-06,2025-07-01,17,2197.54,1.925,10.0,1597.5
2025-06-06,2025-07-02,16,2226.68,1.525,16.75,962.5
2025-06-06,2025-07-03,15,2249.04,1.175,17.8,892.5
